id,worry_text,xata.createdAt,xata.updatedAt,xata.version
rec_cpaiqsaepkdaam39j4lg,"I am worried, that this site wont be helpfull for other people
",2024-05-28T01:03:45.762341Z,2024-05-28T01:03:45.762341Z,0
rec_cpaiquk4v7kogk7dq1e0,I believe that it will be a great place where everyone is welcomed to express their feelings ;),2024-05-28T01:03:54.412375Z,2024-05-28T01:03:54.412375Z,0
rec_cpair0uu0r1laptfilbg,"Worries, worries, worries",2024-05-28T01:04:03.546161Z,2024-05-28T01:04:03.546161Z,0
rec_cpair2uu0r1laptfilc0,I am worried that I am being manipulated and I am unable to do anything about it,2024-05-28T01:04:11.493407Z,2024-05-28T01:04:11.493407Z,0
rec_cpair4k4v7kogk7dq1eg,Job,2024-05-28T01:04:18.750912Z,2024-05-28T01:04:18.750912Z,0
rec_cpair6k4v7kogk7dq1f0,"Мене хвилює, що я недостатньо продуктивна. Хоча зараз працюю на трьох роботах і справді намагаюсь всюди відпрацьовувати по-максимуму. ",2024-05-28T01:04:26.853141Z,2024-05-28T01:04:26.853141Z,0
rec_cpair8k4v7kogk7dq1fg,Ніхто не відповідає на мій пост в блу,2024-05-28T01:04:34.312687Z,2024-05-28T01:04:34.312687Z,0
rec_cpairaeu0r1laptfilcg,ААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААА,2024-05-28T01:04:41.45585Z,2024-05-28T01:04:41.45585Z,0
rec_cpairck4v7kogk7dq1g0,"заїбала діч на роботі з жонглюванням проєктами, клоунство",2024-05-28T01:04:50.505248Z,2024-05-28T01:04:50.505248Z,0
rec_cpairec4v7kogk7dq1gg,заїбало заїбало,2024-05-28T01:04:57.957275Z,2024-05-28T01:04:57.957275Z,0
rec_cpairg44v7kogk7dq1h0,"все довкола відбувається з блискавичною швидкістю абсолютно все хочеться все від цього вити і кричати і плакати водночас. хочеться робити все а пізніше вже руки опускаються і зневіра і так по колу ",2024-05-28T01:05:04.908272Z,2024-05-28T01:05:04.908272Z,0
rec_cpairhuu0r1laptfild0,war,2024-05-28T01:05:11.862951Z,2024-05-28T01:05:11.862951Z,0
rec_cpairkc4v7kogk7dq1hg,I’m worried I’m always going to be barely good enough at my job because of things beyond my control and not having time to breathe and think.,2024-05-28T01:05:21.424618Z,2024-05-28T01:05:21.424618Z,0
rec_cpairm44v7kogk7dq1i0,"I am worried about traveling to my dream vacation this coming month. I am really scared of flying. ",2024-05-28T01:05:28.120614Z,2024-05-28T01:05:28.120614Z,0
rec_cpairniepkdaam39j4m0,a speech i have yo give,2024-05-28T01:05:34.698438Z,2024-05-28T01:05:34.698438Z,0
rec_cpairpeu0r1laptfildg,job,2024-05-28T01:05:41.817693Z,2024-05-28T01:05:41.817693Z,0
rec_cpairraepkdaam39j4mg,my narccasism,2024-05-28T01:05:49.741197Z,2024-05-28T01:05:49.741197Z,0
rec_cpairtaepkdaam39j4n0,my wife doesnt love me anymore,2024-05-28T01:05:57.589005Z,2024-05-28T01:05:57.589005Z,0
